identity_key,project_code,alternate_identifier,first_observed_month,last_observed_month,number_of_months,consecutive_months,gaps,months_before_first_revision,months_before_last_revision,eligible_cutoffs_3m,eligible_cutoffs_6m
L:N06000226,,N06000226,2025-04,2025-06,3,3,0,,,0,0
L:N06000229,,N06000229,2025-04,2025-06,3,3,0,,,0,0
L:N06000230,,N06000230,2025-04,2025-06,3,3,0,,,0,0
L:N06000232,,N06000232,2025-04,2025-06,3,3,0,,,0,0
L:N06000233,,N06000233,2025-04,2025-06,3,3,0,,,0,0
L:N06000236,,N06000236,2025-04,2025-06,3,3,0,,,0,0
L:N06000237,,N06000237,2025-04,2025-06,3,3,0,,,0,0
L:N06000238,,N06000238,2025-04,2025-06,3,3,0,,,0,0
L:N06000239,,N06000239,2025-04,2025-06,3,3,0,,,0,0
L:N06000240,,N06000240,2025-04,2025-06,3,3,0,,,0,0
L:N06000241,,N06000241,2025-04,2025-06,3,3,0,,,0,0
L:N06000242,,N06000242,2025-04,2025-06,3,3,0,,,0,0
L:N06000243,,N06000243,2025-04,2025-06,3,3,0,,,0,0
L:N06000244,,N06000244,2025-04,2025-06,3,3,0,,,0,0
L:N06000245,,N06000245,2025-04,2025-06,3,3,0,,,0,0
L:N06000246,,N06000246,2025-04,2025-06,3,3,0,,,0,0
L:N06000247,,N06000247,2025-04,2025-06,3,3,0,,,0,0
L:N06000249,,N06000249,2025-04,2025-06,3,3,0,,,0,0
L:N06000250,,N06000250,2025-04,2025-06,3,3,0,,,0,0
L:N06000251,,N06000251,2025-04,2025-06,3,3,0,,,0,0
L:N06000252,,N06000252,2025-04,2025-06,3,3,0,,,0,0
L:N06000253,,N06000253,2025-04,2025-06,3,3,0,,,0,0
L:N06000254,,N06000254,2025-04,2025-06,3,3,0,,,0,0
L:N06000255,,N06000255,2025-04,2025-06,3,3,0,,,0,0
L:N06000256,,N06000256,2025-04,2025-06,3,3,0,,,0,0
L:N06000257,,N06000257,2025-04,2025-06,3,3,0,,,0,0
L:N06000258,,N06000258,2025-04,2025-06,3,3,0,,,0,0
L:N06000259,,N06000259,2025-04,2025-06,3,3,0,,,0,0
L:N06000260,,N06000260,2025-04,2025-06,3,3,0,,,0,0
L:N06000264,,N06000264,2025-04,2025-06,3,3,0,,,0,0
L:N06000265,,N06000265,2025-04,2025-06,3,3,0,,,0,0
L:N06000266,,N06000266,2025-04,2025-06,3,3,0,,,0,0
L:N06000267,,N06000267,2025-04,2025-06,3,3,0,,,0,0
L:N06000269,,N06000269,2025-04,2025-06,3,3,0,,,0,0
L:N06000270,,N06000270,2025-04,2025-06,3,3,0,,,0,0
L:N06000271,,N06000271,2025-04,2025-06,3,3,0,,,0,0
L:N06000272,,N06000272,2025-04,2025-06,3,3,0,,,0,0
L:N06000273,,N06000273,2025-04,2025-06,3,3,0,,,0,0
L:N06000274,,N06000274,2025-04,2025-06,3,3,0,,,0,0
L:N06000275,,N06000275,2025-04,2025-06,3,3,0,,,0,0
L:N06000276,,N06000276,2025-04,2025-06,3,3,0,,,0,0
L:N06000277,,N06000277,2025-04,2025-06,3,3,0,,,0,0
L:N06000278,,N06000278,2025-04,2025-06,3,3,0,,,0,0
L:N06000279,,N06000279,2025-04,2025-06,3,3,0,2,2,0,0
L:N06000280,,N06000280,2025-04,2025-06,3,3,0,,,0,0
L:N06000281,,N06000281,2025-04,2025-06,3,3,0,,,0,0
L:N06000282,,N06000282,2025-04,2025-06,3,3,0,,,0,0
L:N06000283,,N06000283,2025-04,2025-06,3,3,0,,,0,0
L:N06000284,,N06000284,2025-04,2025-06,3,3,0,,,0,0
L:N06000285,,N06000285,2025-04,2025-06,3,3,0,,,0,0
L:N06000286,,N06000286,2025-04,2025-06,3,3,0,,,0,0
L:N06000287,,N06000287,2025-04,2025-06,3,3,0,,,0,0
L:N06000288,,N06000288,2025-04,2025-06,3,3,0,,,0,0
L:N06000289,,N06000289,2025-04,2025-06,3,3,0,,,0,0
L:N06000290,,N06000290,2025-04,2025-06,3,3,0,,,0,0
L:N06000291,,N06000291,2025-04,2025-06,3,3,0,,,0,0
L:N06000292,,N06000292,2025-05,2025-06,2,2,0,,,0,0
L:N06000293,,N06000293,2025-06,2025-06,1,1,0,,,0,0
L:N06000294,,N06000294,2025-06,2025-06,1,1,0,,,0,0
L:N06000295,,N06000295,2025-06,2025-06,1,1,0,,,0,0
L:N07000001,,N07000001,2025-04,2025-06,3,3,0,,,0,0
L:N10000010,,N10000010,2025-04,2025-06,3,3,0,2,2,0,0
L:N10000011,,N10000011,2025-04,2025-06,3,3,0,,,0,0
L:N10000012,,N10000012,2025-04,2025-06,3,3,0,,,0,0
L:N10000013,,N10000013,2025-04,2025-06,3,3,0,1,1,0,0
L:N10000014,,N10000014,2025-04,2025-06,3,3,0,2,2,0,0
L:N10000015,,N10000015,2025-04,2025-06,3,3,0,,,0,0
L:N10000016,,N10000016,2025-04,2025-06,3,3,0,,,0,0
L:N10000017,,N10000017,2025-04,2025-06,3,3,0,,,0,0
L:N12000095,,N12000095,2025-04,2025-06,3,3,0,,,0,0
L:N12000122,,N12000122,2025-04,2025-06,3,3,0,,,0,0
L:N12000124,,N12000124,2025-04,2025-06,3,3,0,,,0,0
L:N12000125,,N12000125,2025-04,2025-06,3,3,0,2,2,0,0
L:N12000127,,N12000127,2025-04,2025-06,3,3,0,,,0,0
L:N12000129,,N12000129,2025-04,2025-06,3,3,0,,,0,0
L:N12000130,,N12000130,2025-04,2025-06,3,3,0,,,0,0
L:N12000131,,N12000131,2025-04,2025-06,3,3,0,,,0,0
L:N12000132,,N12000132,2025-04,2025-06,3,3,0,,,0,0
L:N12000133,,N12000133,2025-04,2025-06,3,3,0,,,0,0
L:N12000134,,N12000134,2025-04,2025-06,3,3,0,,,0,0
L:N12000135,,N12000135,2025-04,2025-06,3,3,0,,,0,0
L:N12000136,,N12000136,2025-04,2025-06,3,3,0,,,0,0
L:N12000137,,N12000137,2025-04,2025-06,3,3,0,,,0,0
L:N12000138,,N12000138,2025-04,2025-06,3,3,0,,,0,0
L:N12000139,,N12000139,2025-04,2025-06,3,3,0,,,0,0
L:N12000140,,N12000140,2025-04,2025-06,3,3,0,,,0,0
L:N12000141,,N12000141,2025-04,2025-06,3,3,0,,,0,0
L:N12000142,,N12000142,2025-04,2025-06,3,3,0,,,0,0
L:N12000143,,N12000143,2025-04,2025-06,3,3,0,,,0,0
L:N16000213,,N16000213,2025-04,2025-06,3,3,0,,,0,0
L:N16000234,,N16000234,2025-04,2025-06,3,3,0,,,0,0
L:N16000247,,N16000247,2025-04,2025-06,3,3,0,,,0,0
L:N16000275,,N16000275,2025-04,2025-06,3,3,0,,,0,0
L:N16000279,,N16000279,2025-04,2025-06,3,3,0,,,0,0
L:N16000285,,N16000285,2025-04,2025-06,3,3,0,,,0,0
L:N16000331,,N16000331,2025-04,2025-06,3,3,0,2,2,0,0
L:N16000361,,N16000361,2025-04,2025-04,1,1,0,,,0,0
L:N16000369,,N16000369,2025-04,2025-06,3,3,0,,,0,0
L:N16000375,,N16000375,2025-04,2025-06,3,3,0,,,0,0
L:N16000379,,N16000379,2025-04,2025-06,3,3,0,,,0,0
L:N16000382,,N16000382,2025-04,2025-06,3,3,0,,,0,0
L:N16000386,,N16000386,2025-04,2025-06,3,3,0,,,0,0
L:N16000388,,N16000388,2025-04,2025-06,3,3,0,2,2,0,0
L:N16000391,,N16000391,2025-04,2025-06,3,3,0,,,0,0
L:N16000392,,N16000392,2025-04,2025-05,2,2,0,,,0,0
L:N16000394,,N16000394,2025-04,2025-06,3,3,0,,,0,0
L:N16000396,,N16000396,2025-04,2025-06,3,3,0,,,0,0
L:N16000398,,N16000398,2025-04,2025-06,3,3,0,2,2,0,0
L:N16000402,,N16000402,2025-04,2025-06,3,3,0,,,0,0
L:N16000409,,N16000409,2025-04,2025-06,3,3,0,,,0,0
L:N16000411,,N16000411,2025-04,2025-06,3,3,0,,,0,0
L:N16000412,,N16000412,2025-04,2025-06,3,3,0,,,0,0
L:N16000414,,N16000414,2025-04,2025-06,3,3,0,,,0,0
L:N16000423,,N16000423,2025-04,2025-06,3,3,0,,,0,0
L:N16000426,,N16000426,2025-04,2025-05,2,2,0,,,0,0
L:N16000428,,N16000428,2025-04,2025-06,3,3,0,,,0,0
L:N16000429,,N16000429,2025-04,2025-06,3,3,0,,,0,0
L:N16000430,,N16000430,2025-04,2025-06,3,3,0,,,0,0
L:N16000431,,N16000431,2025-04,2025-06,3,3,0,,,0,0
L:N16000432,,N16000432,2025-04,2025-06,3,3,0,,,0,0
L:N16000434,,N16000434,2025-04,2025-06,3,3,0,,,0,0
L:N16000435,,N16000435,2025-04,2025-06,3,3,0,,,0,0
L:N16000437,,N16000437,2025-04,2025-06,3,3,0,,,0,0
L:N16000438,,N16000438,2025-04,2025-06,3,3,0,,,0,0
L:N16000439,,N16000439,2025-04,2025-06,3,3,0,,,0,0
L:N16000440,,N16000440,2025-04,2025-06,3,3,0,,,0,0
L:N16000441,,N16000441,2025-04,2025-06,3,3,0,,,0,0
L:N16000442,,N16000442,2025-04,2025-06,3,3,0,,,0,0
L:N16000444,,N16000444,2025-04,2025-06,3,3,0,,,0,0
L:N16000445,,N16000445,2025-04,2025-06,3,3,0,,,0,0
L:N16000446,,N16000446,2025-04,2025-06,3,3,0,1,1,0,0
L:N16000449,,N16000449,2025-04,2025-06,3,3,0,2,2,0,0
L:N16000450,,N16000450,2025-04,2025-06,3,3,0,2,2,0,0
L:N16000452,,N16000452,2025-04,2025-06,3,3,0,,,0,0
L:N16000453,,N16000453,2025-04,2025-06,3,3,0,,,0,0
L:N16000454,,N16000454,2025-04,2025-06,3,3,0,,,0,0
L:N16000455,,N16000455,2025-04,2025-06,3,3,0,,,0,0
L:N16000456,,N16000456,2025-04,2025-06,3,3,0,,,0,0
L:N16000457,,N16000457,2025-04,2025-06,3,3,0,,,0,0
L:N16000458,,N16000458,2025-04,2025-06,3,3,0,,,0,0
L:N16000470,,N16000470,2025-04,2025-06,3,3,0,,,0,0
L:N16000477,,N16000477,2025-04,2025-06,3,3,0,,,0,0
L:N16000478,,N16000478,2025-04,2025-06,3,3,0,,,0,0
L:N16000480,,N16000480,2025-04,2025-06,3,3,0,,,0,0
L:N16000481,,N16000481,2025-04,2025-06,3,3,0,,,0,0
L:N16000483,,N16000483,2025-04,2025-06,3,3,0,,,0,0
L:N16000484,,N16000484,2025-04,2025-06,3,3,0,,,0,0
L:N16000485,,N16000485,2025-04,2025-06,3,3,0,,,0,0
L:N16000486,,N16000486,2025-04,2025-06,3,3,0,,,0,0
L:N16000487,,N16000487,2025-04,2025-06,3,3,0,,,0,0
L:N16000488,,N16000488,2025-04,2025-06,3,3,0,,,0,0
L:N16000491,,N16000491,2025-04,2025-06,3,3,0,,,0,0
L:N16000494,,N16000494,2025-04,2025-06,3,3,0,,,0,0
L:N16000495,,N16000495,2025-04,2025-06,3,3,0,,,0,0
L:N16000496,,N16000496,2025-04,2025-05,2,2,0,,,0,0
L:N16000497,,N16000497,2025-04,2025-06,3,3,0,,,0,0
L:N16000498,,N16000498,2025-04,2025-06,3,3,0,,,0,0
L:N16000499,,N16000499,2025-04,2025-06,3,3,0,,,0,0
L:N16000500,,N16000500,2025-04,2025-06,3,3,0,,,0,0
L:N16000503,,N16000503,2025-04,2025-06,3,3,0,,,0,0
L:N16000504,,N16000504,2025-04,2025-06,3,3,0,,,0,0
L:N16000505,,N16000505,2025-04,2025-06,3,3,0,,,0,0
L:N16000506,,N16000506,2025-04,2025-06,3,3,0,,,0,0
L:N16000507,,N16000507,2025-04,2025-06,3,3,0,,,0,0
L:N16000508,,N16000508,2025-04,2025-06,3,3,0,,,0,0
L:N16000509,,N16000509,2025-04,2025-06,3,3,0,,,0,0
L:N16000510,,N16000510,2025-04,2025-06,3,3,0,,,0,0
L:N16000511,,N16000511,2025-04,2025-06,3,3,0,,,0,0
L:N16000512,,N16000512,2025-04,2025-06,3,3,0,,,0,0
L:N16000513,,N16000513,2025-04,2025-06,3,3,0,,,0,0
L:N16000514,,N16000514,2025-04,2025-06,3,3,0,,,0,0
L:N16000515,,N16000515,2025-04,2025-06,3,3,0,,,0,0
L:N16000518,,N16000518,2025-04,2025-06,3,3,0,,,0,0
L:N16000519,,N16000519,2025-04,2025-06,3,3,0,,,0,0
L:N16000520,,N16000520,2025-04,2025-06,3,3,0,,,0,0
L:N16000521,,N16000521,2025-04,2025-06,3,3,0,,,0,0
L:N16000522,,N16000522,2025-04,2025-06,3,3,0,,,0,0
L:N16000523,,N16000523,2025-04,2025-06,3,3,0,,,0,0
L:N16000524,,N16000524,2025-04,2025-06,3,3,0,,,0,0
L:N16000525,,N16000525,2025-04,2025-06,3,3,0,,,0,0
L:N16000526,,N16000526,2025-04,2025-06,3,3,0,,,0,0
L:N16000527,,N16000527,2025-04,2025-06,3,3,0,,,0,0
L:N16000528,,N16000528,2025-04,2025-06,3,3,0,,,0,0
L:N16000529,,N16000529,2025-04,2025-06,3,3,0,,,0,0
L:N16000530,,N16000530,2025-04,2025-06,3,3,0,,,0,0
L:N16000531,,N16000531,2025-04,2025-06,3,3,0,,,0,0
L:N16000532,,N16000532,2025-04,2025-06,3,3,0,,,0,0
L:N16000533,,N16000533,2025-04,2025-06,3,3,0,,,0,0
L:N16000534,,N16000534,2025-04,2025-06,3,3,0,,,0,0
L:N16000535,,N16000535,2025-04,2025-06,3,3,0,,,0,0
L:N16000536,,N16000536,2025-04,2025-06,3,3,0,,,0,0
L:N16000537,,N16000537,2025-04,2025-06,3,3,0,,,0,0
L:N16000538,,N16000538,2025-04,2025-06,3,3,0,,,0,0
L:N16000539,,N16000539,2025-04,2025-06,3,3,0,,,0,0
L:N16000540,,N16000540,2025-04,2025-06,3,3,0,,,0,0
L:N18000010,,N18000010,2025-04,2025-06,3,3,0,,,0,0
L:N18000014,,N18000014,2025-04,2025-06,3,3,0,,,0,0
L:N18000042,,N18000042,2025-04,2025-06,3,3,0,,,0,0
L:N18000142,,N18000142,2025-04,2025-06,3,3,0,,,0,0
L:N18000172,,N18000172,2025-04,2025-06,3,3,0,,,0,0
L:N18000177,,N18000177,2025-04,2025-06,3,3,0,,,0,0
L:N18000178,,N18000178,2025-04,2025-06,3,3,0,,,0,0
L:N18000194,,N18000194,2025-04,2025-06,3,3,0,,,0,0
L:N18000249,,N18000249,2025-04,2025-06,3,3,0,,,0,0
L:N18000250,,N18000250,2025-04,2025-06,3,3,0,,,0,0
L:N18000272,,N18000272,2025-04,2025-06,3,3,0,1,1,0,0
L:N18000275,,N18000275,2025-04,2025-06,3,3,0,,,0,0
L:N18000278,,N18000278,2025-04,2025-06,3,3,0,,,0,0
L:N18000279,,N18000279,2025-04,2025-06,3,3,0,,,0,0
L:N18000286,,N18000286,2025-04,2025-05,2,2,0,1,1,0,0
L:N18000291,,N18000291,2025-04,2025-06,3,3,0,,,0,0
L:N18000293,,N18000293,2025-04,2025-05,2,2,0,1,1,0,0
L:N18000295,,N18000295,2025-04,2025-06,3,3,0,1,1,0,0
L:N18000296,,N18000296,2025-04,2025-05,2,2,0,1,1,0,0
L:N18000297,,N18000297,2025-04,2025-06,3,3,0,,,0,0
L:N18000319,,N18000319,2025-04,2025-06,3,3,0,1,2,0,0
L:N18000320,,N18000320,2025-04,2025-04,1,1,0,,,0,0
L:N18000321,,N18000321,2025-04,2025-04,1,1,0,,,0,0
L:N18000322,,N18000322,2025-04,2025-04,1,1,0,,,0,0
L:N18000324,,N18000324,2025-04,2025-06,3,3,0,,,0,0
L:N18000325,,N18000325,2025-04,2025-06,3,3,0,,,0,0
L:N18000326,,N18000326,2025-04,2025-06,3,3,0,,,0,0
L:N18000328,,N18000328,2025-04,2025-06,3,3,0,,,0,0
L:N18000330,,N18000330,2025-04,2025-06,3,3,0,,,0,0
L:N18000331,,N18000331,2025-04,2025-06,3,3,0,,,0,0
L:N18000332,,N18000332,2025-04,2025-06,3,3,0,1,1,0,0
L:N18000335,,N18000335,2025-04,2025-06,3,3,0,,,0,0
L:N18000337,,N18000337,2025-04,2025-06,3,3,0,,,0,0
L:N18000343,,N18000343,2025-04,2025-06,3,3,0,,,0,0
L:N18000344,,N18000344,2025-04,2025-06,3,3,0,,,0,0
L:N18000345,,N18000345,2025-04,2025-06,3,3,0,1,1,0,0
L:N18000346,,N18000346,2025-04,2025-06,3,3,0,1,2,0,0
L:N18000347,,N18000347,2025-04,2025-06,3,3,0,1,1,0,0
L:N18000348,,N18000348,2025-04,2025-06,3,3,0,1,1,0,0
L:N18000349,,N18000349,2025-04,2025-06,3,3,0,1,1,0,0
L:N18000350,,N18000350,2025-04,2025-06,3,3,0,,,0,0
L:N18000351,,N18000351,2025-04,2025-06,3,3,0,,,0,0
L:N18000352,,N18000352,2025-04,2025-06,3,3,0,,,0,0
L:N18000353,,N18000353,2025-04,2025-06,3,3,0,,,0,0
L:N18000356,,N18000356,2025-04,2025-06,3,3,0,,,0,0
L:N18000357,,N18000357,2025-04,2025-06,3,3,0,,,0,0
L:N18000358,,N18000358,2025-04,2025-06,3,3,0,,,0,0
L:N18000359,,N18000359,2025-04,2025-06,3,3,0,,,0,0
L:N18000360,,N18000360,2025-04,2025-06,3,3,0,,,0,0
L:N18000361,,N18000361,2025-04,2025-06,3,3,0,,,0,0
L:N18000362,,N18000362,2025-04,2025-06,3,3,0,,,0,0
L:N18000363,,N18000363,2025-04,2025-06,3,3,0,,,0,0
L:N18000364,,N18000364,2025-04,2025-06,3,3,0,,,0,0
L:N18000365,,N18000365,2025-04,2025-06,3,3,0,1,1,0,0
L:N18000366,,N18000366,2025-04,2025-06,3,3,0,1,1,0,0
L:N18000367,,N18000367,2025-04,2025-06,3,3,0,,,0,0
L:N18000368,,N18000368,2025-04,2025-06,3,3,0,,,0,0
L:N18000370,,N18000370,2025-04,2025-06,3,3,0,,,0,0
L:N18000373,,N18000373,2025-04,2025-06,3,3,0,,,0,0
L:N18000374,,N18000374,2025-04,2025-06,3,3,0,,,0,0
L:N18000375,,N18000375,2025-04,2025-06,3,3,0,,,0,0
L:N18000376,,N18000376,2025-04,2025-06,3,3,0,,,0,0
L:N18000377,,N18000377,2025-04,2025-06,3,3,0,,,0,0
L:N18000378,,N18000378,2025-04,2025-06,3,3,0,,,0,0
L:N18000379,,N18000379,2025-04,2025-06,3,3,0,,,0,0
L:N18000380,,N18000380,2025-04,2025-06,3,3,0,,,0,0
L:N18000381,,N18000381,2025-04,2025-06,3,3,0,,,0,0
L:N18000382,,N18000382,2025-04,2025-06,3,3,0,,,0,0
L:N18000383,,N18000383,2025-04,2025-06,3,3,0,,,0,0
L:N18000384,,N18000384,2025-04,2025-06,3,3,0,,,0,0
L:N18000385,,N18000385,2025-04,2025-06,3,3,0,,,0,0
L:N18000386,,N18000386,2025-04,2025-06,3,3,0,,,0,0
L:N18000387,,N18000387,2025-04,2025-06,3,3,0,,,0,0
L:N18000388,,N18000388,2025-04,2025-06,3,3,0,,,0,0
L:N18000389,,N18000389,2025-04,2025-06,3,3,0,,,0,0
L:N18000390,,N18000390,2025-04,2025-06,3,3,0,,,0,0
L:N18000391,,N18000391,2025-04,2025-06,3,3,0,,,0,0
L:N18000392,,N18000392,2025-04,2025-06,3,3,0,,,0,0
L:N18000393,,N18000393,2025-04,2025-06,3,3,0,,,0,0
L:N18000394,,N18000394,2025-04,2025-06,3,3,0,,,0,0
L:N18000395,,N18000395,2025-04,2025-06,3,3,0,,,0,0
L:N18000396,,N18000396,2025-04,2025-06,3,3,0,,,0,0
L:N18000397,,N18000397,2025-04,2025-06,3,3,0,,,0,0
L:N18000398,,N18000398,2025-04,2025-06,3,3,0,,,0,0
L:N18000399,,N18000399,2025-04,2025-06,3,3,0,,,0,0
L:N18000400,,N18000400,2025-04,2025-06,3,3,0,,,0,0
L:N18000401,,N18000401,2025-04,2025-06,3,3,0,,,0,0
L:N18000402,,N18000402,2025-04,2025-06,3,3,0,,,0,0
L:N18000403,,N18000403,2025-04,2025-06,3,3,0,,,0,0
L:N18000404,,N18000404,2025-04,2025-06,3,3,0,,,0,0
L:N18000405,,N18000405,2025-04,2025-06,3,3,0,,,0,0
L:N18000406,,N18000406,2025-04,2025-06,3,3,0,2,2,0,0
L:N18000407,,N18000407,2025-04,2025-06,3,3,0,,,0,0
L:N18000408,,N18000408,2025-04,2025-06,3,3,0,,,0,0
L:N18000409,,N18000409,2025-04,2025-06,3,3,0,,,0,0
L:N18000410,,N18000410,2025-04,2025-06,3,3,0,,,0,0
L:N18000411,,N18000411,2025-04,2025-06,3,3,0,,,0,0
L:N18000412,,N18000412,2025-04,2025-06,3,3,0,,,0,0
L:N18000413,,N18000413,2025-04,2025-06,3,3,0,,,0,0
L:N18000414,,N18000414,2025-04,2025-06,3,3,0,,,0,0
L:N18000415,,N18000415,2025-04,2025-06,3,3,0,,,0,0
L:N18000416,,N18000416,2025-04,2025-06,3,3,0,,,0,0
L:N18000417,,N18000417,2025-04,2025-06,3,3,0,,,0,0
