project_code,identity_key,project_name,prediction_month,cutoff_target,future_target,target_change_month,shift_months,original_end_date,revised_end_date,december_2025_target,january_2026_target,february_2026_target,previous_report_target,march_2026_target,april_2026_target,next_report_target,source_file,source_page,source_section,label_value,sampled_for_source_review,source_months_verified,review_status,notes
615345,P:615345,Transmission System for Evacuation of Power from Potential Renewable Energy Zone in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID South Olpad Transmission Limited],2026-02,03/2027,10/2027,2026-03,7,10/2026,10/2027,03/2027,03/2027,03/2027,03/2027,10/2027,10/2027,10/2027,FlashReport_March_2026.pdf,63,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
617391,P:617391,Augmentation of Transformation Capacity at Bhuj-II PS [GIS],2026-02,03/2027,06/2027,2026-03,3,11/2026,06/2027,03/2027,03/2027,03/2027,03/2027,06/2027,06/2027,06/2027,FlashReport_March_2026.pdf,63,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
617801,P:617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-02,03/2027,06/2027,2026-03,3,12/2026,06/2027,03/2027,03/2027,03/2027,03/2027,06/2027,06/2027,06/2027,FlashReport_March_2026.pdf,63,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
611966,P:611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-02,03/2026,04/2026,2026-03,1,07/2025,04/2026,03/2026,03/2026,03/2026,03/2026,04/2026,04/2026,04/2026,FlashReport_March_2026.pdf,64,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
612140,P:612140,Transmission Scheme for Integration of Renewable Energy Zone [Phase II] in Koppal II [Phase A&B] and gadag II[Phase A] in Karnataka [POWERGRID KOPPAL GADAG TRANSMISSION LIMITED],2026-02,06/2026,09/2026,2026-03,3,12/2025,09/2026,06/2026,06/2026,06/2026,06/2026,09/2026,09/2026,09/2026,FlashReport_March_2026.pdf,64,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
615344,P:615344,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5GW] [Jaisalmer/Barmer Complex] Part H1 [POWERGRID KURAWAR TRANSMISSION LIMITED],2026-02,03/2027,06/2027,2026-03,3,10/2026,06/2027,03/2027,03/2027,03/2027,03/2027,06/2027,06/2027,06/2027,FlashReport_March_2026.pdf,64,Table 6: All Ongoing Projects,1,True,2025-12;2026-01;2026-02;2026-03;2026-04,SOURCE_VERIFIED,2025-12:FlashReport_December_2025.pdf:p57=03/2027; 2026-01:FlashReport_January_2026.pdf:p69=03/2027; 2026-02:FlashReport_February_2026.pdf:p74=03/2027; 2026-03:FlashReport_March_2026.pdf:p64=06/2027; 2026-04:FlashReport_April2026.pdf:p65=06/2027
615346,P:615346,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5. GW] [Jaisalmer/Barmer Complex] Part C [SPV Name POWERGRID Mandsaur Transmission Limited],2026-02,12/2026,02/2027,2026-03,2,08/2026,02/2027,12/2026,12/2026,12/2026,12/2026,02/2027,02/2027,02/2027,FlashReport_March_2026.pdf,64,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
617179,P:617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B Jammu and Kashmir,2026-02,03/2027,06/2027,2026-03,3,07/2026,06/2027,03/2027,03/2027,03/2027,03/2027,06/2027,06/2027,06/2027,FlashReport_March_2026.pdf,64,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
619029,P:619029,Transmission System for Reliable Power Supply to Dholera,2026-02,09/2026,12/2026,2026-03,3,03/2026,12/2026,,03/2026,09/2026,09/2026,12/2026,12/2026,12/2026,FlashReport_March_2026.pdf,64,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
607709,P:607709,"NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT Multi-States [NERPSIP] (Assam, Manipur,",2026-02,03/2026,03/2027,2026-03,12,12/2018,03/2027,03/2026,03/2026,03/2026,03/2026,03/2027,03/2027,03/2027,FlashReport_March_2026.pdf,65,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
611735,P:611735,"& Diu, Gujarat, Maharashtra) Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part J Multi-States (Delhi, Rajasthan)",2026-02,07/2026,12/2026,2026-03,5,03/2025,12/2026,07/2026,07/2026,07/2026,07/2026,12/2026,12/2026,12/2026,FlashReport_March_2026.pdf,65,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
612132,P:612132,"Transmission Scheme for Evacuation of power from REZ in Rajasthan [20 GW] under Phase-III Part D Phase I [Sikar Khetri Transmission Ltd] Multi-States (Delhi, Rajasthan)",2026-02,06/2026,09/2026,2026-03,3,08/2025,09/2026,06/2026,06/2026,06/2026,06/2026,09/2026,09/2026,09/2026,FlashReport_March_2026.pdf,65,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
615334,P:615334,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5. GW] [Jaisalmer/Barmer Complex] Part E [SPV Name POWERGRID Mewar Multi-States Transmission Limited],2026-02,03/2027,04/2027,2026-03,1,08/2026,04/2027,,,03/2027,03/2027,04/2027,04/2027,04/2027,FlashReport_March_2026.pdf,65,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
615339,P:615339,Transmission system for evacuation of power from Rajasthan REZ Ph-IV [Part- 3/6GW] [Bikaner complex] Part A [SPV Name POWERGRID Bikaner IV Transmission Multi-States Limited],2026-02,03/2027,04/2027,2026-03,1,11/2026,04/2027,,,03/2027,03/2027,04/2027,04/2027,04/2027,FlashReport_March_2026.pdf,65,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
615340,P:615340,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3/ 6 GW] [BIKANER COMPLEX] PART B [SPV Name Multi-States POWERGRID Siwani Transmission Limited],2026-02,03/2027,06/2027,2026-03,3,11/2026,06/2027,,,03/2027,03/2027,06/2027,06/2027,06/2027,FlashReport_March_2026.pdf,65,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
617270,P:617270,Eastern Region Expansion Scheme-44 [ERES-44] Multi-States,2026-02,03/2027,06/2027,2026-03,3,05/2026,06/2027,03/2027,03/2027,03/2027,03/2027,06/2027,06/2027,06/2027,FlashReport_March_2026.pdf,65,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
900808,P:900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone Part-A and Part-B Multi-States,2026-02,03/2026,05/2026,2026-03,2,11/2024,05/2026,03/2026,03/2026,03/2026,03/2026,05/2026,05/2026,05/2026,FlashReport_March_2026.pdf,65,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
611947,P:611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-02,03/2026,06/2026,2026-03,3,06/2025,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
611948,P:611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,2026-02,03/2026,06/2026,2026-03,3,04/2025,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
611951,P:611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2026-02,02/2026,04/2026,2026-03,2,02/2025,04/2026,01/2026,02/2026,02/2026,02/2026,04/2026,,,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
612133,P:612133,(-) Pradesh) Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part D [Neemrana Bareilly Transmission Ltd] Multi-States,2026-02,06/2026,12/2026,2026-03,6,12/2025,12/2026,06/2026,06/2026,06/2026,06/2026,12/2026,12/2026,12/2026,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,True,2025-12;2026-01;2026-02;2026-03;2026-04,SOURCE_VERIFIED,2025-12:FlashReport_December_2025.pdf:p58=06/2026; 2026-01:FlashReport_January_2026.pdf:p70=06/2026; 2026-02:FlashReport_February_2026.pdf:p76=06/2026; 2026-03:FlashReport_March_2026.pdf:p66=12/2026; 2026-04:FlashReport_April2026.pdf:p66=12/2026
612134,P:612134,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana Transmission Ltd],2026-02,06/2026,12/2026,2026-03,6,12/2025,12/2026,06/2026,06/2026,06/2026,06/2026,12/2026,12/2026,12/2026,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
615332,P:615332,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5. GW][Jaisalmer/Barmer Complex] Part B [SPV Name POWERGRID Sirohi Transmission Limited],2026-02,12/2026,03/2027,2026-03,3,08/2026,03/2027,12/2026,12/2026,12/2026,12/2026,03/2027,03/2027,03/2027,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
615335,P:615335,Transmission System Strengthening for Interconnections of Bhadla-III & Bikaner III Complex [SPV Name POWERGRID BHADLA BIKANER TRANSMISSION LIMITED],2026-02,12/2026,03/2027,2026-03,3,08/2026,03/2027,12/2026,12/2026,12/2026,12/2026,03/2027,03/2027,03/2027,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
615337,P:615337,Additional Transmission System for evacuation of Power from Bhadla-III PS as part of Rajasthan REZ Phase III Scheme [20 GW] [SPV Name POWERGRID Bhadla-III Power Transmission Limited],2026-02,03/2026,09/2026,2026-03,6,02/2026,09/2026,03/2026,03/2026,03/2026,03/2026,09/2026,09/2026,09/2026,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
616670,P:616670,Transmission System for evacuation of Power from Rajasthan REZ Ph-IV [Part-4 GW] Part A [SPV name POWERGRID Ghiror Transmission Limited] Multi-States,2026-02,03/2027,06/2027,2026-03,3,12/2026,06/2027,03/2027,03/2027,03/2027,03/2027,06/2027,06/2027,06/2027,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
616671,P:616671,Transmission System under ISTS for evacuation of Power from Kudankulam Unit-3&4 [2x1000 MW] [SPV Name POWERGRID Kudankulam Tarnsmission Limited],2026-02,12/2026,03/2027,2026-03,3,12/2026,03/2027,12/2026,12/2026,12/2026,12/2026,03/2027,03/2027,03/2027,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
617181,P:617181,"Augmentation at Fatehgarh-II PS, Fatehgarh-IV PS [Section-II] and Barmer-I PS [POWERGRID Fatehgarh Barmer Augmentation Transmission Limited]",2026-02,03/2027,06/2027,2026-03,3,12/2026,06/2027,03/2027,03/2027,03/2027,03/2027,06/2027,06/2027,06/2027,FlashReport_March_2026.pdf,66,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702639,P:702639,Ahmedabad Metro Rail Project [Phase-I],2026-02,01/2026,04/2026,2026-03,3,03/2018,04/2026,01/2026,01/2026,01/2026,01/2026,04/2026,05/2026,05/2026,FlashReport_March_2026.pdf,67,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702674,P:702674,"ESR - 8 nos., distribution system - 216 Km, new house service connections - nos. upgrading of feeder mains, pumping station etc. - Phase II",2026-02,03/2026,06/2026,2026-03,3,03/2023,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702699,P:702699,Muzaffarpur Storm Water Drainage Phase-I Project,2026-02,03/2026,06/2026,2026-03,3,10/2023,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702734,P:702734,Sewerage Management Scheme Part-3 Implementation,2026-02,03/2026,09/2026,2026-03,6,09/2023,09/2026,03/2026,03/2026,03/2026,03/2026,09/2026,09/2026,09/2026,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702735,P:702735,Sewerage Management Scheme Part-3 Implementation,2026-02,03/2026,05/2026,2026-03,2,03/2023,05/2026,01/2026,03/2026,03/2026,03/2026,05/2026,,,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702741,P:702741,Dhanbad Water Supply Infrastructure Project,2026-02,03/2026,06/2026,2026-03,3,03/2023,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702742,P:702742,SAAP-3 Water Supply Infrastructure SAAP-3 Project,2026-02,03/2026,06/2026,2026-03,3,10/2023,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702746,P:702746,Augmentation and Strenghthning of Urban Water Supply Phase 1 - SAAP,2026-02,03/2026,06/2026,2026-03,3,03/2023,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702760,P:702760,Belgavi Improvement in Sewerage System Project,2026-02,03/2026,06/2026,2026-03,3,07/2023,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,True,2025-12;2026-01;2026-02;2026-03;2026-04,SOURCE_VERIFIED,2025-12:FlashReport_December_2025.pdf:p60=03/2026; 2026-01:FlashReport_January_2026.pdf:p73=03/2026; 2026-02:FlashReport_February_2026.pdf:p79=03/2026; 2026-03:FlashReport_March_2026.pdf:p68=06/2026; 2026-04:FlashReport_April2026.pdf:p69=06/2026
702764,P:702764,24/7 water supply under AMRUT for Davanagere,2026-02,03/2026,05/2026,2026-03,2,03/2023,05/2026,03/2026,03/2026,03/2026,03/2026,05/2026,,,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702793,P:702793,Indore Water Supply Infrastructure Project,2026-02,03/2026,05/2026,2026-03,2,03/2023,05/2026,01/2026,03/2026,03/2026,03/2026,05/2026,06/2026,06/2026,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702798,P:702798,Jabalpur Sewerage Management and Treatment Infrastructure Project,2026-02,03/2026,06/2026,2026-03,3,03/2023,06/2026,01/2026,03/2026,03/2026,03/2026,06/2026,,,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702808,P:702808,Satna Sewerage Management and Treatment Infrastructure Project,2026-02,03/2026,05/2026,2026-03,2,03/2024,05/2026,03/2026,03/2026,03/2026,03/2026,05/2026,05/2026,05/2026,FlashReport_March_2026.pdf,68,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702810,P:702810,Singrauli Sewerage Management and Treatment Infrastructure Project,2026-02,03/2026,05/2026,2026-03,2,03/2023,05/2026,03/2026,03/2026,03/2026,03/2026,05/2026,06/2026,06/2026,FlashReport_March_2026.pdf,69,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702840,P:702840,Mira-Bhayandar Water Supply Infrastructure Project,2026-02,03/2026,05/2026,2026-03,2,03/2023,05/2026,02/2026,03/2026,03/2026,03/2026,05/2026,05/2026,05/2026,FlashReport_March_2026.pdf,69,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702851,P:702851,Pune Water Supply Infrastructure Project,2026-02,03/2026,05/2026,2026-03,2,03/2023,05/2026,03/2026,03/2026,03/2026,03/2026,05/2026,05/2026,05/2026,FlashReport_March_2026.pdf,69,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702854,P:702854,Solapur Sewerage Management Infrastructure Project,2026-02,03/2026,05/2026,2026-03,2,03/2023,05/2026,03/2026,03/2026,03/2026,03/2026,05/2026,06/2026,06/2026,FlashReport_March_2026.pdf,69,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
702949,P:702949,Jhansi Water Supply Infrastructure Phase-II Project,2026-02,03/2026,05/2026,2026-03,2,07/2023,05/2026,02/2026,03/2026,03/2026,03/2026,05/2026,05/2026,05/2026,FlashReport_March_2026.pdf,69,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
703021,P:703021,Jalandhar Water Supply Infrastructure Project,2026-02,03/2026,06/2026,2026-03,3,08/2023,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,69,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
703057,P:703057,Patiala Water Supply Infrastructure Part-2 Project,2026-02,03/2026,05/2026,2026-03,2,10/2023,05/2026,02/2026,03/2026,03/2026,03/2026,05/2026,06/2026,06/2026,FlashReport_March_2026.pdf,69,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
612128,P:612128,Hostel blocks & dining hall block,2026-02,03/2026,07/2026,2026-03,4,03/2026,07/2026,03/2026,03/2026,03/2026,03/2026,07/2026,07/2026,07/2026,FlashReport_March_2026.pdf,70,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
400012,P:400012,"Kandla Gorakhpur LPG Pipeline Multi-States (Gujarat, Madhya",2026-02,03/2026,06/2026,2026-03,3,12/2021,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,71,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
701263,P:701263,Rajasthan Refinery Project,2026-02,03/2026,06/2026,2026-03,3,10/2022,06/2026,,,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,71,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
701349,P:701349,"Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] Multi-States at Paradip (Assam, Bihar,",2026-02,06/2026,10/2026,2026-03,4,07/2024,10/2026,06/2026,06/2026,06/2026,06/2026,10/2026,10/2026,10/2026,FlashReport_March_2026.pdf,71,Table 6: All Ongoing Projects,1,True,2025-12;2026-01;2026-02;2026-03;2026-04,SOURCE_VERIFIED,2025-12:FlashReport_December_2025.pdf:p62=06/2026; 2026-01:FlashReport_January_2026.pdf:p75=06/2026; 2026-02:FlashReport_February_2026.pdf:p81=06/2026; 2026-03:FlashReport_March_2026.pdf:p71=10/2026; 2026-04:FlashReport_April2026.pdf:p72=10/2026
400167,P:400167,Redevelopment of Santhal Field [Onshore-Mehsana Asset],2026-02,03/2026,04/2026,2026-03,1,03/2026,04/2026,03/2026,03/2026,03/2026,03/2026,04/2026,12/2026,12/2026,FlashReport_March_2026.pdf,72,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
604791,P:604791,Numaligarh Refinery Expansion Project,2026-02,09/2026,03/2027,2026-03,6,07/2024,03/2027,,,09/2026,09/2026,03/2027,03/2027,03/2027,FlashReport_March_2026.pdf,72,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
616858,P:616858,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing & transportation of natural Gas to be produced from Baghjan Field",2026-02,03/2026,06/2026,2026-03,3,03/2024,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,72,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
709752,P:709752,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,2026-02,03/2026,02/2027,2026-03,11,06/2024,02/2027,03/2026,03/2026,03/2026,03/2026,02/2027,02/2027,02/2027,FlashReport_March_2026.pdf,72,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
709847,P:709847,Pipeline Network Project Rudrasagar,2026-02,04/2026,04/2027,2026-03,12,04/2026,04/2027,04/2026,04/2026,04/2026,04/2026,04/2027,04/2027,04/2027,FlashReport_March_2026.pdf,72,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
709850,P:709850,Borholla GGS Life Extension Project [BLEP],2026-02,05/2026,09/2026,2026-03,4,05/2026,09/2026,05/2026,05/2026,05/2026,05/2026,09/2026,09/2026,09/2026,FlashReport_March_2026.pdf,72,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
709864,P:709864,DCU Revamp Project,2026-02,06/2026,10/2026,2026-03,4,07/2024,10/2026,06/2026,06/2026,06/2026,06/2026,10/2026,10/2026,10/2026,FlashReport_March_2026.pdf,72,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
