report_month,source_file,source_page,source_section,sl_no,project_name,agency,state,legacy_ocms_code,alternate_id,current_project_code,review_status,failure_type,raw_text_reference,notes
2025-07,FlashReport_July_2025.pdf,42,Table 6: All Ongoing Projects,169,Kashmir (5281.94) (602535) Kwar HE Project Jammu and,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p42; Table 6: All Ongoing Projects; sl_no=169,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,43,Table 6: All Ongoing Projects,173,Subansiri Lower HE Project [2000 MW] Multi-States,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p43; Table 6: All Ongoing Projects; sl_no=173,Validation extraction recovered source primary code 602096 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,202,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System Jammu and,,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=202,Validation extraction recovered source primary code 608302 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,203,Kashmir (318.12) (608302) Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B Jammu and,Power Grid Corporation of India Limited [POWERGRID],,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=203,Validation extraction recovered source primary code 617179 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,212,Transmission System for Integration of Kurnool-IV REZ Phase-I [for 4.5 GW] Multi-States [POWERGRID Kurnool-IV Transmission Limited],,Andhra Pradesh,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=212,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,213,Karnataka) (617185) Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone Part-A and Multi-States Part-B,Power Grid Corporation of India Limited [POWERGRID],Andhra Pradesh,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=213,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,214,Telangana) (900808) Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Multi-States Systems [CSST&DS] in Arunachal Pradesh and Sikkim,Power Grid Corporation of India Limited [POWERGRID],,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=214,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,215,"Pradesh, Sikkim) (602223) NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT Multi-States [NERPSIP] (Assam, Manipur,",Power Grid Corporation of India Limited [POWERGRID],Meghalaya,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=215,Validation extraction recovered source primary code 607709 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,216,"(607709) Mizoram, Nagaland, Tripura) Eastern Region Expansion Scheme-43 [ERES-43] Multi-States",Power Grid Corporation of India Limited [POWERGRID],Odisha,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=216,Validation extraction recovered source primary code 617271 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,217,(617271) West Bengal) Eastern Region Expansion Scheme-44 [ERES-44] Multi-States,Power Grid Corporation of India Limited [POWERGRID],Bihar,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=217,Validation extraction recovered source primary code 617270 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,218,(617270) Bengal) Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B Multi-States (Dadra & Nagar,400005,,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=218,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,44,Table 6: All Ongoing Projects,219,"& Diu, Gujarat, Maharashtra) Transmission System Strengthening Scheme for evacuation of power from SEZ in Multi-States (Delhi, Rajasthan 8.1 GW under Phase II Part G",Power Grid Corporation of India Limited [POWERGRID],Haryana,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p44; Table 6: All Ongoing Projects; sl_no=219,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,220,"Rajasthan) (608922) Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part J Multi-States (Delhi,",,,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=220,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,221,"Rajasthan) (331) (611735) Transmission Scheme for Evacuation of power from REZ in Rajasthan [20 GW] under Phase-III Part D [Sikar Khetri Transmission Ltd] Multi-States (Delhi,",Power Grid Corporation of India Limited [POWERGRID],,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=221,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,222,"Rajasthan) (2000) (612132) Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1 Multi-States (Delhi,",Power Grid Corporation of India Limited [POWERGRID],,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=222,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,223,Uttar Pradesh) (359.47) (608301) TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V Multi-States,Power Grid Corporation of India Limited [POWERGRID],Gujarat,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=223,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,224,Maharashtra) (615347) Transmission system for evacuation of power from Rajasthan REZ Ph-IV [Part- 3/6GW] [Bikaner complex] Part A [SPV Name POWERGRID Bikaner IV Transmission Multi-States,Power Grid Corporation of India Limited [POWERGRID],Haryana,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=224,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,225,Rajasthan) (615339) TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3/ 6 GW] [BIKANER COMPLEX] PART B [SPV Name Multi-States,Power Grid Corporation of India Limited [POWERGRID],Haryana,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=225,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,226,Rajasthan) (615340) Transmission System for Strengthening of Srinagar-Leh Tr. System Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=226,Validation extraction recovered source primary code 606781 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,227,"(606781) Kashmir, Ladakh) Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Multi-States Transmission Ltd]",,Karnataka,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=227,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,228,Telangana) (612138) Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5. GW] [Jaisalmer/Barmer Complex] Part D [SPV Name POWERGRID Beawar Multi-States,,Madhya Pradesh,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=228,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,229,Rajasthan) (615333) Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5. GW] [Jaisalmer/Barmer Complex] Part E [SPV Name POWERGRID Mewar Multi-States,Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=229,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,230,Rajasthan) (615334) Rajasthan REZ Ph-V [Part-1- 4 GW] [Sirohi/Nagaur] Complex [Rajasthan V Power Multi-States Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=230,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,231,Rajasthan) (617186) Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] Multi-States [Bikaner Complex] Part D [Neemrana Bareilly Transmission Ltd],Power Grid Corporation of India Limited [POWERGRID],Rajasthan,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=231,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,45,Table 6: All Ongoing Projects,232,Pradesh) (612133) Transmission System for evacuation of Power from Rajasthan REZ Ph-IV [Part-4 Multi-States GW] Part A [SPV name POWERGRID Ghiror Transmission Limited],,Rajasthan,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p45; Table 6: All Ongoing Projects; sl_no=232,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,46,Table 6: All Ongoing Projects,249,"Integrated Command control Center [ICCC] - Construction and Development of Integrated Command Control Center with Security, Surveillance, ITMS, Connecting Andaman &",,,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p46; Table 6: All Ongoing Projects; sl_no=249,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,47,Table 6: All Ongoing Projects,276,"Delhi Metro Rail Phase-IV [Rithala - Kundli Corridor] Multi-States (Delhi,",Delhi Metro Rail Corporation Limited [DMRC],,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p47; Table 6: All Ongoing Projects; sl_no=276,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,47,Table 6: All Ongoing Projects,277,"Haryana) (-) (6230.99) (617206) Delhi-Ghaziabad-Meerut Regional Rapid Transit System [RRTS] corridor Multi-States (Delhi,",National Capital Region Transport Corporation [NCRTC],,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p47; Table 6: All Ongoing Projects; sl_no=277,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,47,Table 6: All Ongoing Projects,280,Storm water drainag Development Project Dadra & Nagar,Ministry of Housing & Urban Affairs,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p47; Table 6: All Ongoing Projects; sl_no=280,Validation extraction recovered source primary code 702355 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,47,Table 6: All Ongoing Projects,282,"Construction of Basement + Ground Floor+ 10 Storeyed building for State of the Art Director General, GSI Building at plot No.GN-40, Sector-V, Salt Lake, Kolkata",,West Bengal,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p47; Table 6: All Ongoing Projects; sl_no=282,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,48,Table 6: All Ongoing Projects,302,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K Jammu and",,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p48; Table 6: All Ongoing Projects; sl_no=302,Validation extraction recovered source primary code 602098 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,49,Table 6: All Ongoing Projects,325,"Setting up a common user Petroleum Terminal at Jammu, J&K for resitement of existing PSU OMC's Depots from Jammu City Jammu and",,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p49; Table 6: All Ongoing Projects; sl_no=325,Validation extraction recovered source primary code 400235 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,49,Table 6: All Ongoing Projects,328,Srikakulam Angul Gas Pipeline Project Multi-States,Ministry of Petroleum & Natural Gas,Andhra Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p49; Table 6: All Ongoing Projects; sl_no=328,Validation extraction recovered source primary code 701343 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,49,Table 6: All Ongoing Projects,329,(701343) Odisha) Rajasthan Refinery Project Multi-States (Arunachal,MinistryofPetroleumNaturalGas,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p49; Table 6: All Ongoing Projects; sl_no=329,Validation extraction recovered source primary code 701263 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,49,Table 6: All Ongoing Projects,330,"Pradesh, Gujarat, (72937) Rajasthan) Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] Multi-States at Paradip (Assam, Bihar,",Ministry of Petroleum & Natural Gas,Jharkhand,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p49; Table 6: All Ongoing Projects; sl_no=330,Validation extraction recovered source primary code 701349 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,49,Table 6: All Ongoing Projects,331,"(701349) Odisha, West Bengal) New Mundra Panipat Crude Oil Pipeline Multi-States",Ministry of Petroleum & Natural Gas,Gujarat,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p49; Table 6: All Ongoing Projects; sl_no=331,Validation extraction recovered source primary code 400078 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,49,Table 6: All Ongoing Projects,332,"(400078) Rajasthan) Kandla Gorakhpur LPG Pipeline Multi-States (Gujarat, Madhya",Ministry of Petroleum & Natural Gas,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p49; Table 6: All Ongoing Projects; sl_no=332,Validation extraction recovered source primary code 400012 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,49,Table 6: All Ongoing Projects,333,"Pradesh, Uttar (10088) Pradesh) Multi Product Pipeline from Irugur to Devangonthi Multi-States","Department of Water Resources, River Development & GR",Karnataka,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p49; Table 6: All Ongoing Projects; sl_no=333,Validation extraction recovered source primary code 400301 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,51,Table 6: All Ongoing Projects,374,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua Districts Jammu and",,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p51; Table 6: All Ongoing Projects; sl_no=374,Validation extraction recovered source primary code 709773 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,51,Table 6: All Ongoing Projects,394,"Visakh Raipur Pipeline Project Multi-States (Andhra Pradesh,",Ministry of Petroleum and Natural Gas,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p51; Table 6: All Ongoing Projects; sl_no=394,Validation extraction recovered source primary code 616254 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,51,Table 6: All Ongoing Projects,395,"Chhattisgarh, (2212) Odisha) Multi-product Pipeline from Krishnapatnam Coastal Installation to the proposed Multi-States Installation at Hyderabad [Malkapur]",616254,Andhra Pradesh,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p51; Table 6: All Ongoing Projects; sl_no=395,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,51,Table 6: All Ongoing Projects,396,"Telangana) (701341) North East Gas Grid Multi-States (Arunachal (701346) Pradesh, Assam, Manipur,",Ministry of Petroleum & Natural Gas,Meghalaya,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p51; Table 6: All Ongoing Projects; sl_no=396,Validation extraction recovered source primary code 701346 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,51,Table 6: All Ongoing Projects,397,"Mizoram, Nagaland, Sikkim, Tripura, West Bengal) Upgradation of Facilities of Numaligarh-Siliguri Product Pipeline [NSPL] for Multi-States transportation of additional products from existing 1.72 MMTPA to 5.5 MMTPA",Ministry of Petroleum & Natural Gas,Assam,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p51; Table 6: All Ongoing Projects; sl_no=397,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,52,Table 6: All Ongoing Projects,399,"Mumbai Nagpur Jharsuguda Pipeline Project Multi-States (Chhattisgarh,",701354,Madhya Pradesh,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p52; Table 6: All Ongoing Projects; sl_no=399,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,52,Table 6: All Ongoing Projects,400,"Maharashtra, Odisha) Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline Multi-States (Gujarat, Haryana,",Ministry of Petroleum & Natural Gas,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p52; Table 6: All Ongoing Projects; sl_no=400,Validation extraction recovered source primary code 701330 at the same report/serial address; the baseline value was blank.
